tipo	bairro	área (m2)	quartos	banheiros	vagas de garagem	preço
Apartamento	Campeche	50.0	2.0	1.0	1.0	230000.0
Apartamento	Estreito	58.0	2.0	1.0	1.0	230000.0
Apartamento	Capoeiras	68.0	3.0	2.0	1.0	230000.0
Apartamento	Ingleses do Rio Vermelho	92.0	2.0	2.0	1.0	230000.0
Apartamento	Itacorubi	21.0	1.0	1.0	1.0	230000.0
Apartamento	Vargem Pequena	58.0	2.0	1.0	0.0	231000.0
Apartamento	Jardim Atlântico	44.0	2.0	1.0	1.0	231000.0
Apartamento	Vargem Pequena	52.0	2.0	1.0	1.0	231000.0
Apartamento	Canasvieiras	40.0	1.0	1.0	1.0	234660.0
Apartamento	Coqueiros	67.0	3.0	1.0	1.0	235000.0
Apartamento	Centro	23.0	1.0	1.0	0.0	235000.0
Apartamento	Ingleses do Rio Vermelho	70.0	2.0	2.0	1.0	235000.0
Apartamento	Capoeiras	63.0	2.0	1.0	0.0	235000.0
Apartamento	Canasvieiras	35.0	1.0	1.0	1.0	235000.0
Apartamento	Capoeiras	52.0	2.0	1.0	1.0	235000.0
Apartamento	Abraão	60.0	3.0	1.0	1.0	235000.0
Apartamento	Centro	24.0	1.0	1.0	0.0	235000.0
Apartamento	Abraão	51.0	2.0	1.0	1.0	235000.0
Apartamento	Vargem Pequena	58.0	2.0	1.0	1.0	236000.0
Apartamento	Vargem Pequena	57.0	2.0	1.0	0.0	237000.0
Apartamento	Coqueiros	67.0	2.0	1.0	0.0	237000.0
Apartamento	Ingleses do Rio Vermelho	51.0	1.0	1.0	1.0	238000.0
Apartamento	Ingleses do Rio Vermelho	84.0	3.0	2.0	1.0	238000.0
Apartamento	Santo Antônio de Lisboa	31.0	1.0	1.0	1.0	238000.0
Apartamento	Coqueiros	44.0	1.0	1.0	1.0	239000.0
Apartamento	Capoeiras	79.0	2.0	1.0	2.0	240000.0
Apartamento	Ingleses do Rio Vermelho	53.0	2.0	1.0	1.0	240000.0
Apartamento	Carvoeira	50.0	1.0	1.0	0.0	240000.0
Apartamento	Ingleses do Rio Vermelho	52.0	2.0	1.0	1.0	240000.0
Apartamento	Canasvieiras	60.0	2.0	1.0	1.0	240000.0
Apartamento	Centro	29.0	1.0	1.0	0.0	240000.0
Apartamento	Ingleses do Rio Vermelho	57.0	2.0	1.0	1.0	240000.0
Apartamento	Ingleses do Rio Vermelho	62.0	2.0	1.0	1.0	240000.0
Apartamento	Ingleses do Rio Vermelho	65.0	2.0	2.0	1.0	240000.0
Apartamento	Estreito	45.0	1.0	1.0	0.0	240000.0
Apartamento	Campeche	55.0	2.0	2.0	1.0	240000.0
Apartamento	Centro	45.0	1.0	1.0	0.0	240000.0
Apartamento	Vargem do Bom Jesus	52.0	2.0	1.0	2.0	240000.0
Apartamento	Vargem do Bom Jesus	82.0	2.0	1.0	2.0	240000.0
Apartamento	Ingleses do Rio Vermelho	77.0	2.0	2.0	1.0	240000.0
Apartamento	Vargem do Bom Jesus	55.0	2.0	1.0	1.0	242050.0
Apartamento	Vargem do Bom Jesus	58.0	2.0	1.0	1.0	242050.0
Apartamento	Vargem Grande	58.0	2.0	1.0	1.0	243000.0
Apartamento	Vargem Grande	55.0	2.0	1.0	1.0	243888.0
Apartamento	Centro	50.0	1.0	1.0	0.0	244990.0
Apartamento	Canasvieiras	43.0	1.0	1.0	1.0	245000.0
Apartamento	Trindade	48.0	1.0	1.0	1.0	245000.0
Apartamento	Trindade	48.0	1.0	1.0	0.0	245000.0
Apartamento	Canasvieiras	42.0	1.0	1.0	1.0	245000.0
Apartamento	Canto	81.0	3.0	2.0	1.0	245000.0
Apartamento	Jardim Atlântico	67.0	2.0	1.0	1.0	245000.0
Apartamento	Ingleses do Rio Vermelho	46.0	1.0	1.0	1.0	245000.0
Apartamento	Capoeiras	48.0	2.0	1.0	1.0	245000.0
Apartamento	Capoeiras	72.0	3.0	1.0	1.0	245000.0
Apartamento	Abraão	58.0	2.0	2.0	0.0	245000.0
Apartamento	Ingleses do Rio Vermelho	79.0	2.0	1.0	1.0	245000.0
Apartamento	Capoeiras	62.0	2.0	1.0	1.0	245000.0
Apartamento	Ingleses do Rio Vermelho	45.0	1.0	1.0	1.0	245000.0
Apartamento	Canasvieiras	43.0	1.0	1.0	1.0	245020.0
Apartamento	Coqueiros	74.0	2.0	1.0	0.0	246000.0
Apartamento	Ingleses do Rio Vermelho	104.0	2.0	2.0	1.0	247000.0
Apartamento	Jardim Atlântico	67.0	2.0	1.0	1.0	247000.0
Apartamento	Vargem do Bom Jesus	57.0	2.0	2.0	1.0	247200.0
Apartamento	Canasvieiras	40.0	1.0	1.0	0.0	248000.0
Apartamento	Ingleses do Rio Vermelho	65.0	2.0	2.0	1.0	249000.0
Apartamento	Canasvieiras	43.0	1.0	1.0	1.0	249000.0
Apartamento	Canto	72.0	3.0	1.0	0.0	249000.0
Apartamento	Ingleses do Rio Vermelho	72.0	3.0	3.0	1.0	249000.0
Apartamento	Pantanal	50.0	1.0	1.0	0.0	249890.0
Apartamento	Ingleses do Rio Vermelho	40.0	1.0	1.0	1.0	250000.0
Apartamento	Capoeiras	74.0	3.0	1.0	1.0	250000.0
Apartamento	Ingleses do Rio Vermelho	70.0	2.0	2.0	1.0	250000.0
Apartamento	Canasvieiras	62.0	1.0	1.0	1.0	250000.0
Apartamento	Abraão	62.0	3.0	1.0	1.0	250000.0
Apartamento	Ingleses do Rio Vermelho	52.0	2.0	1.0	1.0	250000.0
Apartamento	Capoeiras	64.0	2.0	1.0	1.0	250000.0
Apartamento	Ingleses do Rio Vermelho	44.0	2.0	2.0	1.0	250000.0
Apartamento	Lagoa da Conceição	36.0	1.0	1.0	1.0	250000.0
Apartamento	Capoeiras	75.0	2.0	2.0	1.0	250000.0
Apartamento	Ingleses do Rio Vermelho	50.0	1.0	1.0	1.0	250000.0
Apartamento	Coqueiros	59.0	2.0	1.0	0.0	250000.0
Apartamento	Centro	55.0	2.0	1.0	0.0	250000.0
Apartamento	Rio Tavares	43.0	1.0	1.0	0.0	250000.0
Apartamento	Centro	58.0	2.0	1.0	0.0	250000.0
Apartamento	Centro	48.0	1.0	1.0	0.0	250000.0
Apartamento	Campeche	48.0	2.0	1.0	1.0	250000.0
Apartamento	Capoeiras	65.0	2.0	1.0	1.0	250000.0
Apartamento	Coqueiros	45.0	2.0	1.0	1.0	250000.0
Apartamento	Coqueiros	65.0	3.0	1.0	1.0	250000.0
Apartamento	Centro	35.0	1.0	1.0	0.0	250000.0
Apartamento	Ingleses do Rio Vermelho	60.0	1.0	1.0	1.0	250000.0
Apartamento	Pantanal	50.0	1.0	1.0	0.0	250000.0
Apartamento	Centro	55.0	1.0	1.0	0.0	250000.0
Apartamento	Ingleses do Rio Vermelho	68.0	2.0	2.0	1.0	250000.0
Apartamento	Coqueiros	87.0	2.0	2.0	0.0	250000.0
Apartamento	Estreito	69.0	2.0	1.0	1.0	250000.0
Apartamento	Abraão	52.0	2.0	1.0	1.0	250000.0
Apartamento	Ingleses do Rio Vermelho	77.0	3.0	2.0	1.0	250000.0
Apartamento	Ingleses do Rio Vermelho	58.0	2.0	1.0	1.0	250000.0
Apartamento	Ingleses do Rio Vermelho	76.0	2.0	2.0	1.0	250000.0
Apartamento	Capoeiras	69.0	3.0	2.0	2.0	252000.0
Apartamento	Ingleses do Rio Vermelho	48.0	1.0	1.0	1.0	254000.0
Apartamento	Canto	72.0	3.0	1.0	1.0	255000.0
Apartamento	Coqueiros	56.0	3.0	1.0	1.0	255000.0
Apartamento	Ingleses do Rio Vermelho	20.0	2.0	2.0	1.0	255000.0
Apartamento	Ingleses do Rio Vermelho	68.0	2.0	2.0	1.0	255000.0
Apartamento	Centro	40.0	1.0	1.0	0.0	256070.0
Apartamento	Centro	33.0	1.0	1.0	1.0	256574.0
Apartamento	Capoeiras	64.0	2.0	1.0	1.0	258000.0
Apartamento	Cachoeira do Bom Jesus	41.0	1.0	1.0	1.0	258125.0
Apartamento	Abraão	62.0	2.0	2.0	1.0	259000.0
Apartamento	Ingleses do Rio Vermelho	50.0	1.0	1.0	1.0	259000.0
Apartamento	Estreito	75.0	2.0	1.0	1.0	259000.0
Apartamento	Ingleses do Rio Vermelho	65.0	2.0	2.0	1.0	259000.0
Apartamento	Ingleses do Rio Vermelho	51.0	1.0	1.0	1.0	259000.0
Apartamento	Ingleses do Rio Vermelho	76.0	3.0	2.0	1.0	259000.0
Apartamento	Ingleses do Rio Vermelho	51.0	1.0	1.0	1.0	259040.0
Apartamento	Capoeiras	68.0	3.0	2.0	2.0	259500.0
Apartamento	Capoeiras	88.0	2.0	1.0	1.0	259990.0
Apartamento	Ingleses do Rio Vermelho	64.0	2.0	2.0	1.0	260000.0
Apartamento	Coqueiros	70.0	2.0	1.0	1.0	260000.0
Apartamento	Córrego Grande	47.0	1.0	1.0	0.0	260000.0
Apartamento	Morro das Pedras	53.0	2.0	2.0	1.0	260000.0
Apartamento	Canto	72.0	3.0	1.0	1.0	260000.0
Apartamento	Coqueiros	56.0	3.0	1.0	1.0	260000.0
Apartamento	Coqueiros	44.0	2.0	1.0	1.0	260000.0
Apartamento	Itacorubi	49.0	1.0	1.0	1.0	260000.0
Apartamento	Campeche	55.0	2.0	2.0	0.0	260000.0
Apartamento	Canasvieiras	65.0	2.0	1.0	1.0	260000.0
Apartamento	Costeira do Pirajubaé	57.0	2.0	1.0	1.0	260000.0
Apartamento	Capoeiras	63.0	2.0	1.0	1.0	260000.0
Apartamento	Canasvieiras	45.0	1.0	1.0	1.0	260000.0
Apartamento	Ingleses	65.0	1.0	2.0	1.0	260000.0
Apartamento	Coqueiros	51.0	2.0	1.0	1.0	260000.0
Apartamento	Capoeiras	60.0	2.0	1.0	2.0	260000.0
Apartamento	Coqueiros	56.0	3.0	1.0	1.0	261000.0
Apartamento	Vargem Grande	60.0	2.0	2.0	1.0	263888.0
Apartamento	Coqueiros	59.0	3.0	1.0	1.0	265000.0
Apartamento	Coqueiros	57.0	2.0	1.0	1.0	265000.0
Apartamento	Coloninha	57.0	2.0	1.0	1.0	265000.0
Apartamento	Centro	40.0	1.0	1.0	0.0	265000.0
Apartamento	Canasvieiras	55.0	2.0	1.0	1.0	265000.0
Apartamento	Canto	79.0	3.0	2.0	1.0	265000.0
Apartamento	Coqueiros	60.0	2.0	1.0	1.0	265000.0
Apartamento	Itacorubi	48.0	2.0	1.0	0.0	265000.0
Apartamento	Estreito	65.0	2.0	2.0	1.0	265000.0
Apartamento	Ingleses do Rio Vermelho	40.0	1.0	1.0	1.0	265000.0
Apartamento	Centro	50.0	1.0	1.0	0.0	265000.0
Apartamento	Ingleses do Rio Vermelho	53.0	1.0	1.0	0.0	265000.0
Apartamento	Itacorubi	59.0	2.0	1.0	1.0	265000.0
Apartamento	Coqueiros	62.0	3.0	1.0	0.0	265000.0
Apartamento	Abraão	73.0	2.0	1.0	1.0	265000.0
Apartamento	Estreito	61.0	2.0	1.0	1.0	265000.0
Apartamento	Capoeiras	73.0	2.0	1.0	1.0	265000.0
Apartamento	Ingleses do Rio Vermelho	68.0	2.0	2.0	0.0	265000.0
Apartamento	Ingleses do Rio Vermelho	77.0	2.0	2.0	1.0	265000.0
Apartamento	Canasvieiras	32.0	1.0	1.0	1.0	265000.0
Apartamento	Canasvieiras	32.0	1.0	1.0	1.0	265950.0
Apartamento	Ingleses do Rio Vermelho	41.0	1.0	1.0	1.0	266000.0
Apartamento	Abraão	73.0	2.0	1.0	1.0	267000.0
Apartamento	Coloninha	58.0	2.0	1.0	1.0	268000.0
Apartamento	Coloninha	57.0	2.0	1.0	1.0	268000.0
Apartamento	Abraão	73.0	2.0	1.0	1.0	268000.0
Apartamento	Trindade	53.0	2.0	1.0	0.0	269000.0
Apartamento	Centro	61.0	2.0	1.0	0.0	269000.0
Apartamento	Centro	73.0	2.0	1.0	0.0	269000.0
Apartamento	Capoeiras	63.0	2.0	1.0	2.0	269000.0
Apartamento	Ingleses do Rio Vermelho	60.0	2.0	2.0	1.0	269000.0
Apartamento	Córrego Grande	24.0	1.0	1.0	1.0	270000.0
Apartamento	Vargem Grande	60.0	2.0	2.0	1.0	270000.0
Apartamento	Bom Abrigo	70.0	2.0	2.0	1.0	270000.0
Apartamento	Campeche	71.0	2.0	2.0	1.0	270000.0
Apartamento	Estreito	66.0	2.0	2.0	1.0	270000.0
Apartamento	Coqueiros	58.0	1.0	1.0	1.0	270000.0
Apartamento	Centro	41.0	1.0	1.0	0.0	270000.0
Apartamento	Ingleses do Rio Vermelho	11.0	2.0	2.0	1.0	270000.0
Apartamento	Canasvieiras	40.0	2.0	1.0	1.0	270000.0
